resource_name,type,class_methods,object_methods,additional_methods,raw_actions
action,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateAction', 'DeleteAction', 'DescribeAction', 'ListActions', 'UpdateAction']"
algorithm,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],"['CreateAlgorithm', 'DeleteAlgorithm', 'DescribeAlgorithm', 'ListAlgorithms']"
app,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],"['CreateApp', 'DeleteApp', 'DescribeApp', 'ListApps']"
appimageconfig,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateAppImageConfig', 'DeleteAppImageConfig', 'DescribeAppImageConfig', 'ListAppImageConfigs', 'UpdateAppImageConfig']"
artifact,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateArtifact', 'DeleteArtifact', 'DescribeArtifact', 'ListArtifacts', 'UpdateArtifact']"
automljob,resource,"['create', 'get', 'list']","['refresh', 'stop']",['listcandidatesforautomljob'],"['CreateAutoMLJob', 'DescribeAutoMLJob', 'ListAutoMLJobs', 'ListCandidatesForAutoMLJob', 'StopAutoMLJob']"
automljobv2,resource,"['create', 'get']",['refresh'],[],"['CreateAutoMLJobV2', 'DescribeAutoMLJobV2']"
cluster,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateCluster', 'DeleteCluster', 'DescribeCluster', 'ListClusters', 'UpdateCluster']"
coderepository,resource,"['create', 'get']","['delete', 'refresh', 'update']",[],"['CreateCodeRepository', 'DeleteCodeRepository', 'DescribeCodeRepository', 'UpdateCodeRepository']"
compilationjob,resource,"['create', 'get', 'list']","['delete', 'refresh', 'stop']",[],"['CreateCompilationJob', 'DeleteCompilationJob', 'DescribeCompilationJob', 'ListCompilationJobs', 'StopCompilationJob']"
context,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateContext', 'DeleteContext', 'DescribeContext', 'ListContexts', 'UpdateContext']"
dataqualityjobdefinition,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],"['CreateDataQualityJobDefinition', 'DeleteDataQualityJobDefinition', 'DescribeDataQualityJobDefinition', 'ListDataQualityJobDefinitions']"
devicefleet,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateDeviceFleet', 'DeleteDeviceFleet', 'DescribeDeviceFleet', 'ListDeviceFleets', 'UpdateDeviceFleet']"
domain,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['CreateDomain', 'DeleteDomain', 'DescribeDomain', 'ListDomains', 'UpdateDomain']"
edgedeploymentplan,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],"['CreateEdgeDeploymentPlan', 'DeleteEdgeDeploymentPlan', 'DescribeEdgeDeploymentPlan', 'ListEdgeDeploymentPlans']"
