resource_name,type,class_methods,object_methods,chain_resource_name,additional_methods,raw_actions,resource_status_chain,resource_states,primary_resource_states
Action,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateAction', 'DeleteAction', 'DescribeAction', 'ListActions', 'UpdateAction']","[{'status': 'Status', 'status_shape': 'ActionStatus'}]",,"['Unknown', 'InProgress', 'Completed', 'Failed', 'Stopping', 'Stopped']"
Algorithm,resource,"['create', 'get', 'list']","['delete', 'refresh']",[],[],"['CreateAlgorithm', 'DeleteAlgorithm', 'DescribeAlgorithm', 'ListAlgorithms']","[{'status': 'AlgorithmStatus', 'status_shape': 'AlgorithmStatus'}]",,"['Pending', 'InProgress', 'Completed', 'Failed', 'Deleting']"
App,resource,"['create', 'get', 'list']","['delete', 'refresh']","['Space', 'UserProfile']",[],"['CreateApp', 'DeleteApp', 'DescribeApp', 'ListApps']","[{'status': 'Status', 'status_shape': 'AppStatus'}]",,"['Deleted', 'Deleting', 'Failed', 'InService', 'Pending']"
AppImageConfig,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateAppImageConfig', 'DeleteAppImageConfig', 'DescribeAppImageConfig', 'ListAppImageConfigs', 'UpdateAppImageConfig']",[],,[]
Artifact,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],[],"['CreateArtifact', 'DeleteArtifact', 'DescribeArtifact', 'ListArtifacts', 'UpdateArtifact']",[],,[]
Association,resource,"['add', 'list']",['delete'],[],[],"['AddAssociation', 'DeleteAssociation', 'ListAssociations']",[],,[]
AutoMLJob,resource,"['create', 'get', 'list']","['refresh', 'stop']",[],['ListCandidatesForAutoMLJob'],"['CreateAutoMLJob', 'DescribeAutoMLJob', 'ListAutoMLJobs', 'ListCandidatesForAutoMLJob', 'StopAutoMLJob']","[{'status': 'AutoMLJobStatus', 'status_shape': 'AutoMLJobStatus'}]",,"['Completed', 'InProgress', 'Failed', 'Stopped', 'Stopping']"
AutoMLJobV2,resource,"['create', 'get']",['refresh'],['AutoMLJob'],[],"['CreateAutoMLJobV2', 'DescribeAutoMLJobV2']","[{'status': 'AutoMLJobStatus', 'status_shape': 'AutoMLJobStatus'}]",,"['Completed', 'InProgress', 'Failed', 'Stopped', 'Stopping']"
Cluster,resource,"['create', 'get', 'list']","['delete', 'refresh', 'update']",[],"['DescribeClusterNode', 'ListClusterNodes']","['CreateCluster', 'DeleteCluster', 'DescribeCluster', 'ListClusters', 'UpdateCluster']","[{'status': 'ClusterStatus', 'status_shape': 'ClusterStatus'}]",,"['Creating', 'Deleting', 'Failed', 'InService', 'RollingBack', 'SystemUpdating', 'Updating']"
CodeRepository,resource,"['create', 'get']","['delete', 'refresh', 'update']",[],[],"['CreateCodeRepository', 'DeleteCodeRepository', 'DescribeCodeRepository', 'UpdateCodeRepository']",[],,[]
